classifier_threshold,retrieval_threshold,auto_handle_count,auto_handle_rate,correct_auto_handle,auto_handle_accuracy
0.5,0.5,188,0.9494949494949495,168,0.8936170212765957
0.5,0.6,188,0.9494949494949495,168,0.8936170212765957
0.5,0.65,186,0.9393939393939394,167,0.8978494623655914
0.5,0.7,179,0.9040404040404041,162,0.9050279329608939
0.5,0.75,160,0.8080808080808081,145,0.90625
0.6,0.5,175,0.8838383838383839,158,0.9028571428571428
0.6,0.6,175,0.8838383838383839,158,0.9028571428571428
0.6,0.65,174,0.8787878787878788,158,0.9080459770114943
0.6,0.7,167,0.8434343434343434,153,0.9161676646706587
0.6,0.75,150,0.7575757575757576,138,0.92
0.7,0.5,157,0.7929292929292929,141,0.8980891719745223
0.7,0.6,157,0.7929292929292929,141,0.8980891719745223
0.7,0.65,156,0.7878787878787878,141,0.9038461538461539
0.7,0.7,151,0.7626262626262627,138,0.9139072847682119
0.7,0.75,138,0.696969696969697,127,0.9202898550724637
0.8,0.5,135,0.6818181818181818,125,0.9259259259259259
0.8,0.6,135,0.6818181818181818,125,0.9259259259259259
0.8,0.65,135,0.6818181818181818,125,0.9259259259259259
0.8,0.7,132,0.6666666666666666,123,0.9318181818181818
0.8,0.75,125,0.6313131313131313,116,0.928
0.9,0.5,92,0.46464646464646464,85,0.9239130434782609
0.9,0.6,92,0.46464646464646464,85,0.9239130434782609
0.9,0.65,92,0.46464646464646464,85,0.9239130434782609
0.9,0.7,90,0.45454545454545453,83,0.9222222222222223
0.9,0.75,87,0.4393939393939394,80,0.9195402298850575
