rank_test_score,mean_test_score,std_test_score,params
1,0.8306654559671983,0.00901004192105864,"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}"
2,0.8277238896190541,0.00869949200931235,"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}"
3,0.8268664191124824,0.008351136876930095,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}"
4,0.8246811961659001,0.008484039544200678,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}"
5,0.8232917575945675,0.011346517490029845,"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}"
6,0.823241047740912,0.016536824718894703,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}"
7,0.8215050540171267,0.014766701986692382,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': False}"
8,0.8214031126608445,0.007772566576269019,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}"
9,0.8206495602782748,0.007154367596772547,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}"
10,0.820496042921264,0.009415652942251293,"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}"
11,0.8204852847902504,0.016376756274273888,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': True}"
12,0.8201099031327157,0.013233122742719502,"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': True}"
13,0.8199331223886764,0.01480103362100324,"{'classifier__C': 0.5, 'classifier__class_weight': None, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}"
14,0.8194809110789955,0.014307564480279906,"{'classifier__C': 0.5, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': False}"
15,0.8187909755196371,0.018797424885473,"{'classifier__C': 0.5, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__sublinear_tf': True}"
