cluster_a,cluster_b,cosine_similarity
2,13,0.8343706
2,8,0.81708765
0,15,0.8120825
3,7,0.80552596
9,13,0.774645
2,9,0.7715144
2,5,0.76793206
8,9,0.717602
1,8,0.71566534
11,12,0.7129624
5,8,0.70927393
9,15,0.70925975
5,13,0.7077149
0,9,0.70563143
13,15,0.7000653
0,13,0.6952831
0,4,0.69149977
12,15,0.6817603
3,6,0.664872
2,17,0.65725565
13,17,0.6492481
8,13,0.6465937
5,9,0.6455759
15,17,0.6349568
0,2,0.6346705
2,4,0.6271652
9,17,0.6264914
8,17,0.6254412
2,16,0.6234907
0,17,0.6185927
11,13,0.61605227
1,9,0.6130954
2,15,0.6129404
12,13,0.61139053
0,8,0.6109826
8,15,0.6100075
9,16,0.60990226
4,9,0.60931724
2,12,0.6081269
7,15,0.60784715
13,16,0.6025877
0,5,0.5989847
15,16,0.59622335
4,13,0.5944514
2,14,0.5915965
0,14,0.58880305
4,11,0.58838576
4,15,0.5827007
11,15,0.5821588
14,15,0.5820755
4,12,0.57955396
3,15,0.5783647
9,14,0.57723165
2,11,0.5697843
4,8,0.56970906
5,17,0.5689714
0,3,0.5681313
8,14,0.5680427
8,16,0.562091
9,12,0.561712
9,11,0.56075895
13,14,0.56042945
12,17,0.56015337
0,16,0.55990005
0,1,0.55847543
4,14,0.55606276
0,7,0.553015
3,13,0.5411367
4,5,0.5404787
8,12,0.5386018
3,9,0.53832364
7,13,0.53616977
12,14,0.5331053
12,16,0.52885103
0,12,0.5261745
6,7,0.52057487
4,17,0.5180254
1,15,0.51641476
14,17,0.5098046
5,16,0.50438994
5,15,0.5022193
11,14,0.49968323
7,9,0.49497426
4,16,0.4891472
6,15,0.48869517
6,13,0.48450592
14,16,0.48204494
8,11,0.47523013
0,11,0.46948114
1,5,0.46856233
16,17,0.46799695
5,11,0.46078175
0,6,0.4593656
1,4,0.45861185
5,14,0.4494558
3,4,0.4488036
6,11,0.4487607
5,12,0.44612977
6,9,0.4342636
1,2,0.43380088
11,17,0.43068033
2,7,0.428889
4,7,0.42654467
7,8,0.42652604
1,14,0.42469656
11,16,0.418244
1,13,0.41496825
1,17,0.41077167
7,12,0.40587062
3,12,0.40007436
2,3,0.3962505
1,16,0.37661082
1,3,0.3758502
3,8,0.37420213
8,10,0.37143886
4,6,0.37032866
7,16,0.36613202
3,16,0.36582097
6,12,0.35929966
1,7,0.35647213
3,14,0.34819362
10,13,0.34655815
7,11,0.3438419
3,11,0.3387592
7,17,0.33870837
2,10,0.33612984
5,7,0.33523276
6,16,0.326312
7,14,0.32224083
1,6,0.31565964
1,11,0.31101066
1,12,0.31075236
3,17,0.29523438
9,10,0.2940809
2,6,0.29325357
6,14,0.28799826
10,11,0.28614974
3,5,0.28498796
1,10,0.28321177
10,15,0.263725
10,12,0.25582284
4,10,0.25468946
6,8,0.25300562
5,6,0.25085044
5,10,0.24574642
7,10,0.24181297
6,17,0.22418895
3,10,0.2236051
10,17,0.2227471
10,16,0.20994079
10,14,0.20172904
6,10,0.19669345
0,10,0.17465508
