author_id,total_tweets,inbound_tweets,outbound_tweets
AmazonHelp,169840,0,169840
AppleSupport,106860,0,106860
Uber_Support,56270,0,56270
SpotifyCares,43265,0,43265
Delta,42253,0,42253
Tesco,38573,0,38573
AmericanAir,36764,0,36764
TMobileHelp,34317,0,34317
comcastcares,33031,0,33031
British_Airways,29361,0,29361
SouthwestAir,28977,0,28977
VirginTrains,27817,0,27817
Ask_Spectrum,25860,0,25860
XboxSupport,24557,0,24557
sprintcare,22381,0,22381
hulu_support,21872,0,21872
sainsburys,19466,0,19466
GWRHelp,19364,0,19364
AskPlayStation,19098,0,19098
ChipotleTweets,18749,0,18749
VerizonSupport,17966,0,17966
UPSHelp,17817,0,17817
ATVIAssist,17650,0,17650
O2,16212,0,16212
Safaricom_Care,16077,0,16077
idea_cares,15724,0,15724
AskTarget,13218,0,13218
AirAsiaSupport,12829,0,12829
BofA_Help,12683,0,12683
SW_Help,12231,0,12231
ArgosHelpers,12174,0,12174
AskLyft,11809,0,11809
marksandspencer,11504,0,11504
AskAmex,11358,0,11358
MicrosoftHelps,11304,0,11304
AskPayPal,11298,0,11298
Morrisons,10126,0,10126
AdobeCare,9917,0,9917
airtel_care,9881,0,9881
AskeBay,9686,0,9686
AirbnbHelp,8875,0,8875
ChaseSupport,8811,0,8811
McDonalds,8478,0,8478
AldiUK,8114,0,8114
JetBlue,8020,0,8020
CoxHelp,7861,0,7861
Ask_WellsFargo,7578,0,7578
AzureSupport,7565,0,7565
AlaskaAir,7478,0,7478
HPSupport,7200,0,7200
LondonMidland,6822,0,6822
GloCare,6308,0,6308
DropboxSupport,5954,0,5954
DellCares,5336,0,5336
GreggsOfficial,4522,0,4522
nationalrailenq,4444,0,4444
VirginAtlantic,4318,0,4318
TacoBellTeam,4082,0,4082
AskCiti,4081,0,4081
AskPapaJohns,3908,0,3908
CenturyLinkHelp,3801,0,3801
NikeSupport,3468,0,3468
Postmates_Help,3346,0,3346
VirginAmerica,2815,0,2815
ATT,2790,0,2790
Walmart,2643,0,2643
IHGService,2643,0,2643
TfL,2243,0,2243
askpanera,2153,0,2153
KFC_UKI_Help,2103,0,2103
NortonSupport,2011,0,2011
GoDaddyHelp,1965,0,1965
ArbysCares,1904,0,1904
AsurionCares,1898,0,1898
DoorDash_Help,1581,0,1581
sizehelpteam,1482,0,1482
VMUcare,1381,0,1381
Kimpton,1339,0,1339
SCsupport,1329,0,1329
TwitterSupport,1290,0,1290
DunkinDonuts,1290,0,1290
USCellularCares,1177,0,1177
NeweggService,1079,0,1079
PandoraSupport,1043,0,1043
AWSSupport,1035,0,1035
AskRBC,1011,0,1011
AskVirginMoney,914,0,914
BoostCare,907,0,907
YahooCare,906,0,906
OPPOCareIN,879,0,879
PearsonSupport,841,0,841
HiltonHelp,833,0,833
GooglePlayMusic,804,0,804
MTNC_Care,784,0,784
AskTigogh,715,0,715
asksalesforce,710,0,710
askvisa,709,0,709
AskSeagate,639,0,639
MOO,630,0,630
ask_progressive,612,0,612
KeyBank_Help,555,0,555
AskRobinhood,432,0,432
mediatemplehelp,305,0,305
JackBox,266,0,266
OfficeSupport,218,0,218
AskDSC,210,0,210
CarlsJr,196,0,196
HotelTonightCX,152,0,152
